ID,Neo Reference ID,Name,Limited Name,Designation,NASA JPL URL,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Min Diameter (m),Max Diameter (m),Min Diameter (miles),Max Diameter (miles),Min Diameter (feet),Max Diameter (feet),Is Potentially Hazardous,Close Approach Date,Close Approach Date (Full),Epoch Date Close Approach,Relative Velocity (km/s),Relative Velocity (km/h),Relative Velocity (miles/h),Miss Distance (astronomical),Miss Distance (lunar),Miss Distance (km),Miss Distance (miles),Orbiting Body
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,8/21/1926,1926-Aug-21 06:24,-1.36847E+12,10.55956599,38014.43757,23620.69317,0.066484235,25.86236734,9945899.915,6180095.632,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,3/11/1933,1933-Mar-11 02:46,-1.16164E+12,7.654079242,27554.68527,17121.40986,0.273685455,106.4636421,40942761.15,25440652.08,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,5/8/1933,1933-May-08 19:40,-1.15657E+12,7.791227379,28048.41856,17428.19652,0.270760514,105.3258398,40505196.13,25168761.78,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,9/19/1933,1933-Sep-19 01:31,-1.14505E+12,7.909786567,28475.23164,17693.40157,0.433453629,168.6134615,64843739.57,40292031.4,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,3/9/1940,1940-Mar-09 21:19,-9.40819E+11,14.99404787,53978.57233,33540.18568,0.14702945,57.19445609,21995292.56,13667241.04,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,9/2/1944,1944-Sep-02 03:37,-7.9936E+11,16.73743343,60254.76035,37439.96484,0.191637883,74.5471366,28668619.15,17813853.9,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,2/10/1951,1951-Feb-10 07:22,-5.96133E+11,9.177113987,33037.61035,20528.28628,0.461491748,179.5202898,69038182.46,42898337.36,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,8/8/1951,1951-Aug-08 15:38,-5.80638E+11,7.995894031,28785.21851,17886.01536,0.19365258,75.33085362,28970013.49,18001131.66,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,3/18/1958,1958-Mar-18 04:43,-3.72108E+11,9.055367838,32599.32422,20255.95232,0.151504213,58.93513901,22664707.62,14083196.27,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,9/13/1962,1962-Sep-13 21:32,-2.30351E+11,23.55951031,84814.2371,52700.2686,0.436384561,169.7535943,65282200.86,40564478.61,Earth
